PROV_HECHO,CANTIDAD
LIMA,507153
AREQUIPA,73517
CALLAO,61331
CHICLAYO,53144
TRUJILLO,34955
CUSCO,32530
PIURA,31248
ICA,28614
SANTA,27677
HUANCAYO,26972
TACNA,19736
HUAMANGA,18835
MAYNAS,18004
CAÑETE,16811
HUANUCO,15993
CHINCHA,12897
SULLANA,12440
LA CONVENCION,12186
CAJAMARCA,11301
LAMBAYEQUE,11193
PISCO,10466
ANDAHUAYLAS,10423
TUMBES,9816
CORONEL PORTILLO,9637
SAN ROMAN,9371
ABANCAY,9189
BARRANCA,8974
HUARAZ,8902
SAN MARTIN,8252
SATIPO,8235
JAEN,8127
TAMBOPATA,8118
HUAURA,8052
PUNO,7916
CHANCHAMAYO,7753
HUARAL,7344
CAYLLOMA,6893
HUAROCHIRI,6865
LEONCIO PRADO,6522
CAMANA,5990
MOYOBAMBA,5878
MARISCAL NIETO,5801
URUBAMBA,5676
RIOJA,5508
TALARA,5289
NAZCA,5008
PACASMAYO,4758
ILO,4550
FERREÑAFE,4532
VIRU,4345
CALCA,4270
CHACHAPOYAS,4254
CANCHIS,4213
UTCUBAMBA,4125
ALTO AMAZONAS,4005
ISLAY,3949
PAITA,3926
CHUPACA,3902
HUANCAVELICA,3746
ASCOPE,3691
TOCACHE,3510
QUISPICANCHI,3483
CHEPEN,3438
JAUJA,3402
OXAPAMPA,3390
HUANTA,3283
TARMA,3240
CHOTA,3139
ANTA,3101
HUALGAYOC,2943
CASMA,2940
SECHURA,2691
PASCO,2603
COTABAMBAS,2561
CHINCHEROS,2470
MARISCAL CACERES,2420
MORROPON,2409
CONCEPCION,2377
CARHUAZ,2355
CARAVELI,2346
CUTERVO,2345
HUANCABAMBA,2264
LA MAR,2241
BAGUA,2233
CHUMBIVILCAS,2231
ESPINAR,2118
YUNGAY,2117
PAUCARTAMBO,2087
SAN IGNACIO,1948
HUAYLAS,1941
SANCHEZ CARRION,1938
CHUCUITO,1895
LAMAS,1873
CELENDIN,1864
ZARUMILLA,1850
CAJABAMBA,1811
AZANGARO,1793
HUARI,1705
AMBO,1665
AYABACA,1654
PUERTO INCA,1597
PADRE ABAD,1585
BELLAVISTA,1576
EL COLLAO,1516
CASTILLA,1461
TAYACAJA,1344
SAN MARCOS,1331
LUCANAS,1232
LUYA,1219
PICOTA,1209
CANAS,1190
OTUZCO,1153
HUALLAGA,1131
POMABAMBA,1104
PALPA,1066
CANGALLO,1036
HUANCANE,1020
EL DORADO,1009
PATAZ,954
HUARMEY,950
SANTA CRUZ,946
YAULI,944
CARABAYA,941
MELGAR,932
SAN ANTONIO DE PUTINA,908
YUNGUYO,906
RODRIGUEZ DE MENDOZA,886
BONGARA,831
REQUENA,806
HUAMALIES,799
MANU,795
SAN MIGUEL,764
LORETO,761
ACOBAMBA,759
ACOMAYO,706
ATALAYA,672
DOS DE MAYO,672
CONTRALMIRANTE VILLAR,670
RECUAY,637
CONDORCANQUI,635
MARISCAL RAMON CASTILLA,621
PARURO,615
CANTA,588
DANIEL ALCIDES CARRION,578
ANGARAES,577
GRAU,537
SANTIAGO DE CHUCO,537
LAMPA,506
SANDIA,490
AYMARAES,488
PACHITEA,479
BOLOGNESI,477
OYON,463
CHURCAMPA,450
CONDESUYOS,445
JUNIN,430
CONTUMAZA,405
PAUCAR DEL SARA SARA,404
TAHUAMANU,400
GRAN CHIMU,396
CASTROVIRREYNA,396
HUANCA SANCOS,388
SIHUAS,384
JULCAN,365
MARAÑON,364
ANTABAMBA,364
LA UNION,355
SAN PABLO,344
CARLOS FERMIN FITZCARRALD,335
PARINACOCHAS,319
YAUYOS,317
JORGE BASADRE,278
GENERAL SANCHEZ CERRO,272
ANTONIO RAYMONDI,271
YAROWILCA,259
VICTOR FAJARDO,256
TARATA,245
SUCRE,243
UCAYALI,205
MARISCAL LUZURIAGA,204
HUACAYBAMBA,200
HUAYTARA,195
PALLASCA,187
MOHO,161
VILCAS HUAMAN,139
BOLIVAR,132
ASUNCION,130
CORONGO,54
LAURICOCHA,50
CAJATAMBO,48
OCROS,41
AIJA,38
CANDARAVE,35
DATEM DEL MARAÑON,20
PURUS,12
